id,conversation_id,message,intent,expected_action,notes
11,e3280f1024006ae61d4d9a6b851e78b2,"unable to fix device for Bluetooth headset... need help to fix it, reset networking n reset all done but still got stuck... help",connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
12,048700ca6a576b44b0b19d6b825d7ebc,Airdrop isnt working on my iPhone X. Please check my topic and HELP ! [LINK] [LINK],connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
13,3bc13ed6e4c1b6010c2db805e3ef0eca,Having trouble with pairing my MID II Bluetooth and Macbook Pro. Anyone who can help? Thanks! #Music #Question,connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
14,f47e7beb737cc6ef9f9b49b8e6185cca,why is it I can only go on fb messenger ONLY on wifi but everyone else I know doesn’t have to use their wifi to access it,connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
15,e35fa0ac7dffb20c07d8c93232ed6e33,"every time I try updating my phone, I receive this error message... I am clearly connected to wifi. Please help! [LINK]",connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
16,f7ef8eae4a452900a646ea95c159c0ed,after updating. My wifi and bluetooth are not functioning properly. Wifi works for a minute or two then it disconnects. [LINK],connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
17,64d79281e8388103ebccd16514a06246,why does my iPhone automatically turn WiFi or Bluetooth on ? I turn it off for a reason and yet it turns itself on!!! Help a brother out?,connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
18,6bff2ac7bad10773227c001293c368b7,"Faulty 3rd Gen Apple Tv, that was under recall. Problem with Wifi, won't connect with witi or ethernet. Phone support doesnt even acknowledge recall or help on the issue at all. Can you help? Serial # C07HXKR1DRHN. Same problem as reacall, [LINK]",connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
19,223600af1e6f454fddb42a7fb1206337,I purchased an iPhone X white silicone case yesterday and it’s already discoloured and I’m not impressed. Can I get it switched out in store for a different colour??,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
20,4da9696bdbf1ac13b3dbb74f4dc0d52d,Whattayaknow my #iphone started fuckinup in perfect timing for the new release for the 5th year in a row.,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
21,12a8e3810799ea7fe83b098a314f092f,my order number has wrong email and payment info for the iPhone X. How do I fix this,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
22,00968c447254347507c09b580f3540b1,are we ever going to fix the “I️” glitch or are we going to keep coding and translating,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
23,78bb993731baae6185880de330c76a14,"Also, why hasn't fixed #siri. It is practically useless.",general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
24,8266f105178a299e79fd75f6777dcce4,why can’t I send MMS pictures since updating to 11.0.3? Very frustrating Online support FAQs don’t offer a real fix #help,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
25,5c1bbec291dd04f633c640c062cebf8e,My phone has literally stop working wtf 🤷‍♂️,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
26,780048faaab15ccb853affd3fbf0f7cf,what the hell! No notifications sounds even for fucking phone calls after I upgraded to 11.0.3 on my iPhone 8+. Fix this shit!,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
27,7f931238aba0150c17813d0c1186cd8f,I don’t think I can tweet again until fucking fixes my fucking I️! Oh and STOP AUTOCORRECTING FUCKING. I know what I️ mean to say!,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
28,5558d131005ebc3fe8c094e833a53996,"You guys ! I️ have the iPhone x and every minute I️ use it, it clicks out and resets like this. I️ tried to reset my settings etc but no luck! Help me",general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
29,7697dc99c2de599a8a79694e899a54f9,My phone keeps changing the letter “i” to a weird symbol. What the fuck fix this shit,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
30,94cfa38fb6d7b1b3e5c7e12b7b90a5c5,"Spent 4 hrs trying to talk to and its already 2am. And the customer service didn’t help fix my phone, and it’s still has the same problem. I can’t believe I wasted my time 😑",general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
31,265e413e03ae9467e861b1bd8221d273,Dear Apple...request you to please bring this issue into your notice [LINK],general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
32,3248c29160982fc2186d47ec9f4c3d23,the new OS is TERRIBLE. It freezes and locks my phone constantly. So many issues it’s shocking it was released,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
33,f3bcca63624ddfa78cc45ced471b5aa8,i pre-ordered reputation by but I can’t play gorgeous?? why is this happening? what can i do [LINK],general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
34,5753680a9e97c1f690bdddcf8032b765,What is this vertical line all about? It appears everytime I open Settings and other third-party apps. [LINK],general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
35,74f6dce37808239a50346fc2eef7762b,why are ur phones so fucking shitty,general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
36,6cb7fd16dc33a4c4b0389844ad3da148,"Dear - First of all, what the hell is this, anyway? Secondly, even if I did know what it was, I don’t want it to replace the letter I. [LINK]",general_inquiry_or_other,ESCALATE,Ambiguous message lacking clear technical details.
37,c7ed58baccf419be06b5cc585e97d225,"hi, my friend’s iPhone was stolen 2 months ago. She has recovered her iCloud account into her new iPhone, but unfortunately her account still in her previous device (it means the thief didn’t sign it out/ can’t use it). —1",icloud_and_storage,AUTO,Cloud storage management and backup instructions.
38,dff46d577f9831366e99ef2e22d22a54,"Activation lock on both of my two step verification devices, is there any possible way can I get on to either phone when I've forgotten my password for my icloud email, without it take 3 weeks by going through Account Recovery - I have no phone right now",icloud_and_storage,AUTO,Cloud storage management and backup instructions.
39,dc495c639733e96a7ea79f820ca3637e,why I got to have my credit card info to download free apps &amp; my iCloud disabled. Sick of this 😑,icloud_and_storage,AUTO,Cloud storage management and backup instructions.
40,4dad26de916a6570f06503163a4ab660,I’m clearly not having a good day when all my pictures on the iCloud Drive got corrupted. #AppleNews #AppleTips #AppleSucks [LINK],icloud_and_storage,AUTO,Cloud storage management and backup instructions.
41,2f9fb60d8cd21c36765ffb4c04a86f35,"Hey , not sure you tested EVERYTHING when implementing the ability to switch #iCloud account emails! [LINK]",icloud_and_storage,AUTO,Cloud storage management and backup instructions.
42,86b6a90b45bda7868e413bd11286be1c,Why does my iPad keep asking me to sign into iCloud every 30 seconds but when I put in my NEWLY changed password it tells me it is incorrect!!! WTF...I can't even use it right now!,icloud_and_storage,AUTO,Cloud storage management and backup instructions.
43,f993755937e95c337ec1087be07a23c4,I hate so much. I can’t access iCloud and the shit is set up and I’m paying for extra storage but can’t see none of my pictures,icloud_and_storage,AUTO,Cloud storage management and backup instructions.
44,8627211e7b49878bd34276df6c27bb58,"Se me olvidó el iCloud y llevo más de 10 días esperando que me brinde solución. Cuando se cumple la fecha, posponen nuevamente... ¡Help!",icloud_and_storage,AUTO,Cloud storage management and backup instructions.
45,718a5c1fc77784f154dc70efeb3488a5,"How can I turn off these annoying ""iCloud Storage is Full"" messages on a Mac?",icloud_and_storage,AUTO,Cloud storage management and backup instructions.
46,0c75bf6041c7da3e44e8bd023b7feab3,Photos aren’t loading from iCloud on phone; ‘optimise storage’ is on - what do you recommended?,icloud_and_storage,AUTO,Cloud storage management and backup instructions.
47,fdb6f2573fed91d6ceb0e891ce133ad0,"why is my phone consuming massive amounts of data for iCloud photo syncing, in-spite of the fact that I’ve turned of photos under cellular. Also can find anything under data that even gets close to what AT&amp;T says I’m using. [LINK]",icloud_and_storage,AUTO,Cloud storage management and backup instructions.
48,31bd8adbbab1932d991714f911721202,Can you explain to me as to why earlier when I went into my photos app on my phone that it shut down and now all my photos are gone? Including the ones that were transferred over to my iCloud... they are also gone. Cheers. I want an explanation...,icloud_and_storage,AUTO,Cloud storage management and backup instructions.
49,76c16dc91a74daa9fa7a16a0b711fa4d,so got iPhone 8 Plus. Restored my phone from iCloud back up 2 days ago. All pics are gone. How do I get them back,icloud_and_storage,AUTO,Cloud storage management and backup instructions.
50,768a26aec2147648a84bb255164f0507,Do you have a desktop application for Windows10 which manages calender on iCloud? I don't like Web app.,icloud_and_storage,AUTO,Cloud storage management and backup instructions.
51,b755c59a198af6ae7e277b279ab4d69d,Hey I did an iCloud backup but quick question: WHERE THE FUCK ARE MY PHOTOS,icloud_and_storage,AUTO,Cloud storage management and backup instructions.
52,8ef11ecf777c4e132ab1657760212b0a,ICloud has been hacked by a very sick person. PLEASE PLEASE help her get it back immediately. I love u Amy!,icloud_and_storage,AUTO,Cloud storage management and backup instructions.
53,56aefe940a38b66922507e851d1eba36,Fucking and this storage message . I just paid for more storage and you’re saying my iCloud storage is almost full but I’m payin for the 64G for what actually ?? I don’t even have 100 pics,icloud_and_storage,AUTO,Cloud storage management and backup instructions.
54,388aaa8e1e79f18091d15f9a9f456fde,Is this real or an attempt to hack my iCloud ? [LINK],icloud_and_storage,AUTO,Cloud storage management and backup instructions.
55,bfec3a7172b7cd78e7d161cae2cb5873,why is my Apple ID invalid? I can't listen to my music,apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
56,ddbff4bb3b92bbbee0f2e1add2ab67c6,"ios 11 deleted all my contacts and other important information last night, and locked me out of my apple id 🖕🖕🖕🖕🖕🖕",apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
57,c4e9baf485f4653e87173b77a8e29a64,Can't find iPhone. Login to iCloud. Verification code sent to your phone. No option to send to my email. Seriously? WTF?,apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
58,68e0a3380349610ff45e54b45164bea7,I want to know why my Apple ID has been locked for the past 5 months after 3 resets and multiple password changes,apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
59,882db436e643d0102179fc96037cd3f9,how do I delete card details from an Apple ID 😞,apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
60,7e0ee677349f83d7bad7c25da2d7b7af,"Please dix this problem, every 2-3days it’s asking me for my apple id password [LINK]",apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
61,1aa37cb9d5d8f631d6535216b18d42f5,need clarity on an iTunes charge I can’t identify. Screenshot with details attached. Please DM me so I can share my Apple ID. Thanks [LINK],apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
62,3a3b61435ecb3a879b06cb026ce0779d,"tfw you just want to log in to your apple id so that you can set up your new phone but you cant because two factor authentication keeps sending your codes to the phone that you lost and don't have the number to and is ""closed"" for the weekend. SOS!!",apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
63,39bdfba146782ce039a2594db47928c1,I forgot my Apple ID,apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
64,c378e2b52aaded1d9bd9192573abb29b,"fuming. I've waited 2 mths for an Apple ID reset, promised a call today at 4.15 after 1 hr to your helpline yest - nothing??",apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
65,a043909afb971e1106c833da92017bd2,why is my Apple ID disabled?? I started the account recovery process Thursday &amp; was supposed to get a text/call last night but never did 😤,apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
66,640b1b0d802c6fdf95dac99b498442b6,"my mac is tripping, my phone is tripping, my apple ID doesn’t work. I spent four hours today at the Apple Store trying to fix it all so they could tell me to “come back tomorrow” WASGOOD",apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
67,9d561bb9e8228a1a5170ae6264957138,iTunes Win7. Rebooted but always get “error connecting to Apple ID server”,apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
68,de6bac49ea5735978eba7dea7774b14c,BEWARE SOME FUCKERS ARE HACKING APPLE ID ACCOUNTS!!!! THEY JUST STOLE $35 FROM ME!,apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
69,5e9c816e56d15551e6b7b5ea4968f750,"Hey , i have iPhone keep restarting again and again , the touchpad is freezing stuck on passcode screen Also the Itunes can't recognize the iphone and when i use DFU to restore the Iphone i got error 4013 HELP!! Please : ( .",apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
70,660037c94efece93578181be1d1dafc3,my new iPhone x keeps asking me to enter the password for an old Apple ID of my sisters. How do I stop this?,apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
71,84a8b8c8387ce77c88cadcfc9db36dec,"Every time you plug your iPhone into your laptop to charge it you now have to give your passcode. Way to waste people's time, .",apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
72,c866de5642bd4391998dde524e604b30,why is my phone telling me to update apple id settings? when I try the verification fails problem connecting to server 😡,apple_id_and_security,ESCALATE,Requires sensitive account verification or password reset.
73,79e72c8492a72828d881b6c9b81463ed,hi I am not able to see the update on my Mac from MacOS Sierra to high Sierra,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
74,621f7db954bd7d5c408865fd45231548,received push saying auth for payment for iPhone X rejected. Tried 2 dif cards. Others having same issue. Any update?,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
75,e069769b21580889308b4ace2022f86f,which is the minimum IOS in a iPad for HomeKit?,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
76,ff4935fe9e118700e94bf7199073d3bf,How buggy is iOS 11 on iPhoneX? Mails are literally unreadable with such huge fonts. [LINK],software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
77,8039404cca87988ed0afed0f0d6942c7,"if you guys don’t fix iOS 11.0.3 SOON I’m going back to android. I hate this iPhone since iOS 11, glitchy and freezing.",software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
78,eec5aae53e15e9555d40656d9b026bbe,hello can u fix ios11 y does my phone keep heating up even tho i only played my game for 5min,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
79,dea05ac4bbf91288566a81b12f1a1d50,has just about lost my business. The updates keep making the quality of my phone worse. I have to restart for apps to update. $600-$1000 doesn’t even last 2 years now. Enough.,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
80,06e410dae2ff99486f07754938da6759,Dear - please fix the iOS 11 display bug ... [LINK],software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
81,4f5cc94d72501cf0ae5548ce7bdbd34e,Anyone else experiencing problems connecting to Bluetooth devices? Wondered if issue related to latest update of iOS,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
82,0cd97459c818cc4bad37c4b19c748772,"any danger of sorting this crap IOS11 update , id like to be able to use my phone without it freezing every time i open an app",software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
83,c6a91770e5760de872a9967a0b5a6dd1,the new update is messing up everyone’s phones. Please fix it!,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
84,d39afaeaf7ab3d14687f7635c15443ff,Went to make an update on my iMac and told me to input the code sent to my other device. I don't own another device.,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
85,ad8d6cc4a9cd880a532f2f15a1865fc3,Visual voicemail has stopped working since I upgraded to iOS 11. Tried fixes through AT&amp;T - still doesn’t work. Please fix!,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
86,9b2c4b0b17524349a6d200cb8a5806ae,Is anyone else having trouble with their emoji keyboard since the iPhone update? It just closes every time I open it 😅,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
87,1ce405ec13ce8181db407c4f7b7739ec,Updated new iOS and on iPhone 5S and now phone doesn't work.Am under extreme life stress at the moment-don't need this stress!,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
88,99141caf6d2d9b915bfc96a2be6acd23,"you really need to fix the iphone software. I still have this weird A! issue, now this I.T is happening with it, half my apps don’t update yet it’s a phone more than my rent [LINK]",software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
89,132d167e12864c76338bae70d35ed228,Yo this update has my phone all f’ed up,software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
90,843cd63995b0eda212049b9fe2038b26,"Don’t worry , “I” isn’t used very much day to day so no one notices your glitch. Good job on that last update though, I also like all my apps running slower.",software_update_and_ios,AUTO,iOS software update guidance or stuck update recovery.
91,e4e7a87c9d505c77c5924f5801893bfb,Can I charge the new AirPods with a charge from the Apple Watch?,battery_and_power,AUTO,Power/battery performance troubleshooting.
92,d372e18ea82362301633e8f37a9c947c,Hey how do I take advantage of the warrantee on the iPhone charger?,battery_and_power,AUTO,Power/battery performance troubleshooting.
93,22e4d2022480df08e52bb6231f3f0e22,"Owned a iphone for 9 1/2 years,this #ios11 update is worst ever, #applefail #batterydrain looking at other brands #Samsung",battery_and_power,AUTO,Power/battery performance troubleshooting.
94,0fc45f15acb9bdb2c85b9facb23f1c79,iphone se just download the new iOS thinking it would fix battery issues. Phone is slow and battery drains so quickly. ??,battery_and_power,AUTO,Power/battery performance troubleshooting.
95,15e840e9c9b626e6eabc2550b4af9896,"11.0.2 thank you! my 6s now draints its battery in matter of hours, not a full day as it used to be. Let us downgrade please!",battery_and_power,AUTO,Power/battery performance troubleshooting.
96,3bd4ae2e364d230a10d9a0fadbfbd8c5,My phone has been on the charger for over an hour and it’s losing battery percentage! Wtf 🤦🏻‍♀️,battery_and_power,AUTO,Power/battery performance troubleshooting.
97,ed762afce9dbb586bf004ecd470d1ca8,Getting really tired of charging my phone three times a day,battery_and_power,AUTO,Power/battery performance troubleshooting.
98,28bd76ce7dd76d18c5fe789ea7971bb0,when you send out the next update for IOS11 can you make it we can actually turn off Bluetooth and WiFi when we swipe up instead of just disconnecting them (you to save that battery life) 🙏😬 thanks in advance,battery_and_power,AUTO,Power/battery performance troubleshooting.
99,ad484e06bf1ab99d913fe63c1408f990,"my phone is on the charger, but declining in battery. im over i don’t even want to get the new series.",battery_and_power,AUTO,Power/battery performance troubleshooting.
100,d96e649754252985a7ce01dbf94764ba,My iPhone 📱 6 battery hardly lasts at all since the updates ? Help? Used to last beyond expectation...,battery_and_power,AUTO,Power/battery performance troubleshooting.
101,a6d9d34b950fe381eba443aa3218e5bb,getting massive battery drain after installing iOS 11.0.3 😔,battery_and_power,AUTO,Power/battery performance troubleshooting.
102,de69e0ce9461634eab1c6f588af68a83,"I updated iOS and my phone is now useless. Maps doesn’t work, nor does CarPlay. Battery life is in the toilet and phone is so slow. How do I revert OS? This is ridiculous",battery_and_power,AUTO,Power/battery performance troubleshooting.
103,1cea6eef4615f365f2dd2c965eabf334,Please can you explain why my battery went from 50% when turned off for a meeting to 21% when turned back on an hour later??,battery_and_power,AUTO,Power/battery performance troubleshooting.
104,04e223f70ea5c559c2f32b728aac8b87,"Dear bring me back my battery percentage. xoxo, - #iPhoneX",battery_and_power,AUTO,Power/battery performance troubleshooting.
105,699f44e166308425740a7f8ae74a702e,So I’m not the only one having WiFi turn itself back on after I turn it off ! #iOS11 fucking blows #batterydrain,battery_and_power,AUTO,Power/battery performance troubleshooting.
106,5a1e65b1089b214b40a5cb50a82b438a,needs to get their stuff together! Every update has new glitches! This new one is draining my battery like crazy. I guess it’s an improvement over the freezing screen 😒,battery_and_power,AUTO,Power/battery performance troubleshooting.
107,73342242beb591be3e2d4203fa77e6e1,update to iOS 11.0.3 battery went from 90% to 40% in 20 mins!! Phone keeps freezing. What are you doing!!?,battery_and_power,AUTO,Power/battery performance troubleshooting.
108,0ebe840948d5a0629f0c1e5cc985c5f6,What is the best way to dispose of old charging cables? Will Apple store recycle them?,battery_and_power,AUTO,Power/battery performance troubleshooting.
109,f69a0e77fedf1cd6cbef63b22fbb7f86,"really, Apple? I reset bc iTunes couldn’t stream to my Apple TV without static interruption all of a sudden, and on boot up I’m greeted w “setting up Mac” – and you erase my applications, and the dock? You guys are so sloppy these days. MacBook is now useless. [LINK]",itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
110,9490d24c954c5e9ebf6a774c5d515bcf,how do I get books on my iPad using a pc? Can’t seem to do it with iTunes anymore 🙁🙁🙁. Makes me very sad,itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
111,e48227bca412e8064355fe373217b433,"trying to re-add ringtones to my iPhone w. iTunes 12.7. dragging files to device doesn't work. ""Manually manage"" is selected",itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
112,12086b41bbddf96237e652ce40833187,"I can't get support (only phone calls, really Apple?!) cuz you need a serial number, but iTunes DOESNT HAVE ONE!!! #notworking",itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
113,de381cabc3f552da2248ee8100a781f1,"iTunes says my Apple Music subscription is up in November, but when I try to access my songs, it says I’m not subscribed.",itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
114,b2ee8593bf9475cf0238b904e77db489,my entire music library has disappeared from my iTunes. How do you fix it??,itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
115,a63e241837fcbd7ed9973ad2bd4371a2,"Hi, how can I report an iTunes defect?",itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
116,10a783e46bd6adafb776edd545c66b65,what the hell is wrong with apple music now??! someone enlighten me 😭 [LINK],itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
117,dee7a96be657c206f5e69200cfa78d6c,Hey! Trying to download iTunes. Your website thanks me for downloading but never starts the download. Can I get a direct link?,itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
118,ec165d87256cd8bf13dfbb3d8b1ea9d1,"hey, how would I keep adding songs to a custom downloaded playlist from Apple Music? I keep adding songs but do not appear",itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
119,cbc8b6005546d8c16ba9d98d45c10cfc,"After many hours researching, troubleshooting and support, still can not access my #AppleMusic playlists on my #iphones. What next!?!",itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
120,f699a6303aee1e38c37b83eaf358188e,I want to watch niall horan film in apple music and it doesnt appear for me my phone is 4s,itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
121,ac69efa141f5d31a7576d984befd1395,"after adding songs on Apple Music, it does not add it to my recently added playlist. Is this a bug? [LINK]",itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
122,9087eb850d8c29b62ff3082bcc4ef477,How come my iPhone is randomly deleting tracks I bought on iTunes? I keep having to download them again which is a pain. [LINK],itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
123,0972ca96f993fa4aff9d13cc0a0b317f,Random sings just appeared in my Apple Music library,itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
124,d2d40a0535d9e981a9412d3cd34dffd4,Hi I’ve got a £9.99 pending transaction on my bank from iTunes but I haven’t purchased anything? Can it be cancelled please?,itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
125,3d5074680f1a0e5c3202029fa871feb6,im trying to organise a support call but none of itunes apple music or websitea will load i cant even sogn in on itunes,itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
126,14d3c536a424f1ee2b3f1354783e1977,Apple Music keeps shutting down or giving me a blank screen. Second time it’s happened this week. 🙄,itunes_and_apple_music,AUTO,Digital music library and subscription guidance.
127,6c5b3b76c9db3c9e3f7da8036ece0530,Am I the only one getting a crappy connection on my AirPods #apple,audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
128,23e8fb9f17e1b4db222349b8bdd44c9f,i lost my AirPods is there a replacement program? I only had them for 11 days,audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
129,4491f4ca3ce454cc5c50178ab6e2815a,"daughter’s iPhone thinks the headphones are always attached. Site says bring to store, but no appointments are available",audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
130,70183b6d176c85fafea5b61d1fe64810,why is my microphone not working on some apps? I’ve just got a new iPhone 😠,audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
131,6406ea801d216d272b80384c21a58740,may i know how do i reset iPhone X. Like i am using iPhone 7 Plus and if I require reset i have to press volume down and power button simultaneously so my phone is restarted please let me know. Appreciate you’re help,audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
132,cea8242b0127f8454974b7cf6b9b6566,today i got a chance to visit newly opened apple store at Michigan avenue in Chicago to buy some accessories for iPhoneX. I m really disappointed by the behavior of staff. I had a chance to interact with at least 3 staff and everyone of them were rude..1/2,audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
133,9e6431ce17b2f9bf6394c81f1338c5ab,my volume won’t change unless my phone is unlocked/open - what’s up?,audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
134,1a05ae8559cb4be58dd389b84756fdf3,"Und ich dachte mein MacBook bleibt frei von irgendwelchen Problemen.😑 Liebes Team, my right speaker made weird sounds once and now the overall volume is lower than the other + there are no more heights in the sound itself anymore. Is it a known problem?",audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
135,2865748252c4d592cbc797d29ddf620d,"I’m having the exact same issues, even without headphones [LINK]",audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
136,42c393f765048b85fe22c346cdc97c8e,hi there’s something wrong with my speaker on my iphone8 plus I can hear a clicking noise in my headphones and now on the speaker it’s fuzzy in some moments,audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
137,1fa31fdc99e20cc21d113f59cabdeef0,My iPhone 8+ didn’t come with headphones or a converter dongle... wtf?!,audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
138,e1e8327fa0d09ddcf1eac40de3952673,37% sure my headphones are broke 🙄 send me some new ones thx,audio_and_airpods,AUTO,Audio accessory settings and troubleshooting.
